cluster
session_start,"['AST_NAME', 'dfsms/profile.php', 2, 'AST_NAME', 'dfsms/sales-report-details.php', 2, 'AST_NAME', 'dfsms/sales-report-ds.php', 2, 'AST_NAME', 'dfsms/add-category.php', 2, 'AST_NAME', 'dfsms/add-company.php', 2, 'AST_NAME', 'dfsms/add-product.php', 2, 'AST_NAME', 'dfsms/bwdate-report-details.php', 2, 'AST_NAME', 'dfsms/invoice.php', 2, 'AST_NAME', 'dfsms/invoices.php', 2, 'AST_NAME', 'dfsms/logout.php', 2, 'AST_NAME', 'dfsms/manage-categories.php', 2, 'AST_NAME', 'dfsms/edit-category.php', 2, 'AST_NAME', 'dfsms/edit-company.php', 2, 'AST_NAME', 'dfsms/edit-product.php', 2, 'AST_NAME', 'dfsms/manage-companies.php', 2, 'AST_NAME', 'dfsms/manage-products.php', 2, 'AST_NAME', 'dfsms/bwdate-report-ds.php', 2, 'AST_NAME', 'dfsms/change-password.php', 2, 'AST_NAME', 'dfsms/dashboard.php', 2, 'AST_NAME', 'dfsms/index.php', 2, 'AST_NAME', 'dfsms/view-invoice.php', 2, 'AST_NAME', 'dfsms/search-product.php', 2]"
strlen,"['AST_NAME', 'dfsms/profile.php', 5, 'AST_NAME', 'dfsms/sales-report-details.php', 5, 'AST_NAME', 'dfsms/sales-report-ds.php', 5, 'AST_NAME', 'dfsms/add-category.php', 5, 'AST_NAME', 'dfsms/add-company.php', 5, 'AST_NAME', 'dfsms/add-product.php', 5, 'AST_NAME', 'dfsms/bwdate-report-details.php', 5, 'AST_NAME', 'dfsms/invoice.php', 5, 'AST_NAME', 'dfsms/invoices.php', 5, 'AST_NAME', 'dfsms/manage-categories.php', 5, 'AST_NAME', 'dfsms/edit-category.php', 5, 'AST_NAME', 'dfsms/edit-company.php', 5, 'AST_NAME', 'dfsms/edit-product.php', 5, 'AST_NAME', 'dfsms/manage-companies.php', 5, 'AST_NAME', 'dfsms/manage-products.php', 5, 'AST_NAME', 'dfsms/bwdate-report-ds.php', 5, 'AST_NAME', 'dfsms/change-password.php', 5, 'AST_NAME', 'dfsms/dashboard.php', 5, 'AST_NAME', 'dfsms/view-invoice.php', 5, 'AST_NAME', 'dfsms/search-product.php', 5]"
_SESSION,"['AST_VAR', 'dfsms/profile.php', 5, 'AST_VAR', 'dfsms/profile.php', 11, 'AST_VAR', 'dfsms/profile.php', 83, 'AST_VAR', 'dfsms/sales-report-details.php', 5, 'AST_VAR', 'dfsms/sales-report-ds.php', 5, 'AST_VAR', 'dfsms/add-category.php', 5, 'AST_VAR', 'dfsms/add-company.php', 5, 'AST_VAR', 'dfsms/add-product.php', 5, 'AST_VAR', 'dfsms/bwdate-report-details.php', 5, 'AST_VAR', 'dfsms/invoice.php', 5, 'AST_VAR', 'dfsms/invoice.php', 76, 'AST_VAR', 'dfsms/invoices.php', 5, 'AST_VAR', 'dfsms/manage-categories.php', 5, 'AST_VAR', 'dfsms/edit-category.php', 5, 'AST_VAR', 'dfsms/edit-company.php', 5, 'AST_VAR', 'dfsms/edit-product.php', 5, 'AST_VAR', 'dfsms/manage-companies.php', 5, 'AST_VAR', 'dfsms/manage-products.php', 5, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 5, 'AST_VAR', 'dfsms/change-password.php', 5, 'AST_VAR', 'dfsms/change-password.php', 11, 'AST_VAR', 'dfsms/dashboard.php', 5, 'AST_VAR', 'dfsms/includes/navbar.php', 18, 'AST_VAR', 'dfsms/index.php', 12, 'AST_VAR', 'dfsms/view-invoice.php', 5, 'AST_VAR', 'dfsms/search-product.php', 217, 'AST_VAR', 'dfsms/search-product.php', 234, 'AST_VAR', 'dfsms/search-product.php', 253, 'AST_VAR', 'dfsms/search-product.php', 5, 'AST_VAR', 'dfsms/search-product.php', 19, 'AST_VAR', 'dfsms/search-product.php', 20, 'AST_VAR', 'dfsms/search-product.php', 21, 'AST_VAR', 'dfsms/search-product.php', 23, 'AST_VAR', 'dfsms/search-product.php', 24, 'AST_VAR', 'dfsms/search-product.php', 26, 'AST_VAR', 'dfsms/search-product.php', 30, 'AST_VAR', 'dfsms/search-product.php', 30, 'AST_VAR', 'dfsms/search-product.php', 33, 'AST_VAR', 'dfsms/search-product.php', 41, 'AST_VAR', 'dfsms/search-product.php', 42, 'AST_VAR', 'dfsms/search-product.php', 44, 'AST_VAR', 'dfsms/search-product.php', 45, 'AST_VAR', 'dfsms/search-product.php', 46, 'AST_VAR', 'dfsms/search-product.php', 52, 'AST_VAR', 'dfsms/search-product.php', 60, 'AST_VAR', 'dfsms/search-product.php', 70, 'AST_VAR', 'dfsms/search-product.php', 71]"
aid,"['AST_DIM', 'dfsms/profile.php', 5, 'AST_DIM', 'dfsms/profile.php', 11, 'AST_DIM', 'dfsms/profile.php', 83, 'AST_DIM', 'dfsms/sales-report-details.php', 5, 'AST_DIM', 'dfsms/sales-report-ds.php', 5, 'AST_DIM', 'dfsms/add-category.php', 5, 'AST_DIM', 'dfsms/add-company.php', 5, 'AST_DIM', 'dfsms/add-product.php', 5, 'AST_DIM', 'dfsms/bwdate-report-details.php', 5, 'AST_DIM', 'dfsms/invoice.php', 5, 'AST_DIM', 'dfsms/invoices.php', 5, 'AST_DIM', 'dfsms/manage-categories.php', 5, 'AST_DIM', 'dfsms/edit-category.php', 5, 'AST_DIM', 'dfsms/edit-company.php', 5, 'AST_DIM', 'dfsms/edit-product.php', 5, 'AST_DIM', 'dfsms/manage-companies.php', 5, 'AST_DIM', 'dfsms/manage-products.php', 5, 'AST_DIM', 'dfsms/bwdate-report-ds.php', 5, 'AST_DIM', 'dfsms/change-password.php', 5, 'AST_DIM', 'dfsms/change-password.php', 11, 'AST_DIM', 'dfsms/dashboard.php', 5, 'AST_DIM', 'dfsms/includes/navbar.php', 18, 'AST_DIM', 'dfsms/index.php', 12, 'AST_DIM', 'dfsms/view-invoice.php', 5, 'AST_DIM', 'dfsms/search-product.php', 5]"
0,"['AST_BINARY_OP', 'dfsms/profile.php', 5, 'AST_BINARY_OP', 'dfsms/sales-report-details.php', 5, 'AST_ARG_LIST', 'dfsms/sales-report-details.php', 10, 'AST_BINARY_OP', 'dfsms/sales-report-ds.php', 5, 'AST_BINARY_OP', 'dfsms/add-category.php', 5, 'AST_BINARY_OP', 'dfsms/add-company.php', 5, 'AST_BINARY_OP', 'dfsms/add-product.php', 5, 'AST_BINARY_OP', 'dfsms/bwdate-report-details.php', 5, 'AST_ARG_LIST', 'dfsms/bwdate-report-details.php', 10, 'AST_ARG_LIST', 'dfsms/invoice.php', 3, 'AST_BINARY_OP', 'dfsms/invoice.php', 5, 'AST_ARG_LIST', 'dfsms/invoice.php', 10, 'AST_BINARY_OP', 'dfsms/invoices.php', 5, 'AST_ARG_LIST', 'dfsms/invoices.php', 10, 'AST_BINARY_OP', 'dfsms/manage-categories.php', 5, 'AST_ARG_LIST', 'dfsms/manage-categories.php', 10, 'AST_BINARY_OP', 'dfsms/edit-category.php', 5, 'AST_ARG_LIST', 'dfsms/edit-category.php', 11, 'AST_ARG_LIST', 'dfsms/edit-category.php', 72, 'AST_BINARY_OP', 'dfsms/edit-company.php', 5, 'AST_ARG_LIST', 'dfsms/edit-company.php', 11, 'AST_ARG_LIST', 'dfsms/edit-company.php', 78, 'AST_BINARY_OP', 'dfsms/edit-product.php', 5, 'AST_ARG_LIST', 'dfsms/edit-product.php', 11, 'AST_ARG_LIST', 'dfsms/edit-product.php', 79, 'AST_BINARY_OP', 'dfsms/manage-companies.php', 5, 'AST_ARG_LIST', 'dfsms/manage-companies.php', 10, 'AST_BINARY_OP', 'dfsms/manage-products.php', 5, 'AST_BINARY_OP', 'dfsms/bwdate-report-ds.php', 5, 'AST_BINARY_OP', 'dfsms/change-password.php', 5, 'AST_BINARY_OP', 'dfsms/change-password.php', 16, 'AST_BINARY_OP', 'dfsms/dashboard.php', 5, 'AST_ARG_LIST', 'dfsms/index.php', 3, 'AST_BINARY_OP', 'dfsms/index.php', 11, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 3, 'AST_BINARY_OP', 'dfsms/view-invoice.php', 5, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 10, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 77, 'AST_ASSIGN', 'dfsms/search-product.php', 218, 'AST_ASSIGN', 'dfsms/search-product.php', 219, 'AST_BINARY_OP', 'dfsms/search-product.php', 5, 'AST_ASSIGN', 'dfsms/search-product.php', 24]"
header,"['AST_NAME', 'dfsms/profile.php', 6, 'AST_NAME', 'dfsms/sales-report-details.php', 6, 'AST_NAME', 'dfsms/sales-report-ds.php', 6, 'AST_NAME', 'dfsms/add-category.php', 6, 'AST_NAME', 'dfsms/add-company.php', 6, 'AST_NAME', 'dfsms/add-product.php', 6, 'AST_NAME', 'dfsms/bwdate-report-details.php', 6, 'AST_NAME', 'dfsms/invoice.php', 6, 'AST_NAME', 'dfsms/invoices.php', 6, 'AST_NAME', 'dfsms/logout.php', 4, 'AST_NAME', 'dfsms/manage-categories.php', 6, 'AST_NAME', 'dfsms/edit-category.php', 6, 'AST_NAME', 'dfsms/edit-company.php', 6, 'AST_NAME', 'dfsms/edit-product.php', 6, 'AST_NAME', 'dfsms/manage-companies.php', 6, 'AST_NAME', 'dfsms/manage-products.php', 6, 'AST_NAME', 'dfsms/bwdate-report-ds.php', 6, 'AST_NAME', 'dfsms/change-password.php', 6, 'AST_NAME', 'dfsms/dashboard.php', 6, 'AST_NAME', 'dfsms/index.php', 13, 'AST_NAME', 'dfsms/view-invoice.php', 6, 'AST_NAME', 'dfsms/search-product.php', 6]"
location:logout.php,"['AST_ARG_LIST', 'dfsms/profile.php', 6, 'AST_ARG_LIST', 'dfsms/sales-report-details.php', 6, 'AST_ARG_LIST', 'dfsms/sales-report-ds.php', 6, 'AST_ARG_LIST', 'dfsms/add-category.php', 6, 'AST_ARG_LIST', 'dfsms/add-company.php', 6, 'AST_ARG_LIST', 'dfsms/add-product.php', 6, 'AST_ARG_LIST', 'dfsms/bwdate-report-details.php', 6, 'AST_ARG_LIST', 'dfsms/invoice.php', 6, 'AST_ARG_LIST', 'dfsms/invoices.php', 6, 'AST_ARG_LIST', 'dfsms/manage-categories.php', 6, 'AST_ARG_LIST', 'dfsms/edit-category.php', 6, 'AST_ARG_LIST', 'dfsms/edit-company.php', 6, 'AST_ARG_LIST', 'dfsms/edit-product.php', 6, 'AST_ARG_LIST', 'dfsms/manage-companies.php', 6, 'AST_ARG_LIST', 'dfsms/manage-products.php', 6, 'AST_ARG_LIST', 'dfsms/bwdate-report-ds.php', 6, 'AST_ARG_LIST', 'dfsms/change-password.php', 6, 'AST_ARG_LIST', 'dfsms/dashboard.php', 6, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 6, 'AST_ARG_LIST', 'dfsms/search-product.php', 6]"
_POST,"['AST_VAR', 'dfsms/profile.php', 9, 'AST_VAR', 'dfsms/profile.php', 13, 'AST_VAR', 'dfsms/profile.php', 14, 'AST_VAR', 'dfsms/profile.php', 15, 'AST_VAR', 'dfsms/sales-report-details.php', 59, 'AST_VAR', 'dfsms/sales-report-details.php', 60, 'AST_VAR', 'dfsms/sales-report-ds.php', 9, 'AST_VAR', 'dfsms/sales-report-ds.php', 12, 'AST_VAR', 'dfsms/add-category.php', 9, 'AST_VAR', 'dfsms/add-category.php', 12, 'AST_VAR', 'dfsms/add-category.php', 13, 'AST_VAR', 'dfsms/add-company.php', 9, 'AST_VAR', 'dfsms/add-company.php', 12, 'AST_VAR', 'dfsms/add-product.php', 9, 'AST_VAR', 'dfsms/add-product.php', 12, 'AST_VAR', 'dfsms/add-product.php', 13, 'AST_VAR', 'dfsms/add-product.php', 14, 'AST_VAR', 'dfsms/add-product.php', 15, 'AST_VAR', 'dfsms/bwdate-report-details.php', 59, 'AST_VAR', 'dfsms/bwdate-report-details.php', 60, 'AST_VAR', 'dfsms/edit-category.php', 9, 'AST_VAR', 'dfsms/edit-category.php', 13, 'AST_VAR', 'dfsms/edit-category.php', 14, 'AST_VAR', 'dfsms/edit-company.php', 9, 'AST_VAR', 'dfsms/edit-company.php', 13, 'AST_VAR', 'dfsms/edit-product.php', 9, 'AST_VAR', 'dfsms/edit-product.php', 13, 'AST_VAR', 'dfsms/edit-product.php', 14, 'AST_VAR', 'dfsms/edit-product.php', 15, 'AST_VAR', 'dfsms/edit-product.php', 16, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 9, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 12, 'AST_VAR', 'dfsms/change-password.php', 9, 'AST_VAR', 'dfsms/change-password.php', 12, 'AST_VAR', 'dfsms/change-password.php', 13, 'AST_VAR', 'dfsms/index.php', 5, 'AST_VAR', 'dfsms/index.php', 7, 'AST_VAR', 'dfsms/index.php', 8, 'AST_VAR', 'dfsms/search-product.php', 151, 'AST_VAR', 'dfsms/search-product.php', 172, 'AST_VAR', 'dfsms/search-product.php', 14, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 26, 'AST_VAR', 'dfsms/search-product.php', 58, 'AST_VAR', 'dfsms/search-product.php', 61, 'AST_VAR', 'dfsms/search-product.php', 62, 'AST_VAR', 'dfsms/search-product.php', 63, 'AST_VAR', 'dfsms/search-product.php', 64]"
update,"['AST_DIM', 'dfsms/profile.php', 9, 'AST_DIM', 'dfsms/edit-category.php', 9, 'AST_DIM', 'dfsms/edit-company.php', 9, 'AST_DIM', 'dfsms/edit-product.php', 9]"
adminid,"['AST_VAR', 'dfsms/profile.php', 11, 'AST_VAR', 'dfsms/profile.php', 16, 'AST_VAR', 'dfsms/profile.php', 83, 'AST_VAR', 'dfsms/profile.php', 84, 'AST_VAR', 'dfsms/change-password.php', 11, 'AST_VAR', 'dfsms/change-password.php', 14, 'AST_VAR', 'dfsms/change-password.php', 17, 'AST_VAR', 'dfsms/includes/navbar.php', 18, 'AST_VAR', 'dfsms/includes/navbar.php', 19]"
